,normalized_distance
0,-0.45632204985585084
1,0.4585219134678958
2,0.5423351740625116
3,2.8376082271450986
4,0.18326696249213262
5,-0.21032228913039563
6,0.7566581275260598
7,-0.21105853393174037
8,-0.21167089927921295
9,-0.45137621416040896
10,-0.21010825068714645
11,-0.21159004928972056
12,-0.1794111144888715
13,-0.1794111144888715
14,-0.4557599175970505
15,-0.45621971774036735
16,-0.4533426564193124
17,-0.25907768963400113
18,-0.45412996571899455
19,-0.011932563600338944
20,-0.45137621416040896
21,-0.18992956802367156
22,-0.21133553381665718
23,-0.45412996571899455
24,-0.45644555675470655
25,-0.2114966833857356
26,-0.21133553381665718
27,-0.21159004928972056
28,-0.45627940056181265
29,-0.45412996571899455
30,-0.45412996571899455
31,0.863608937281382
32,0.1269700664314327
33,-0.21137095416346405
34,-0.21030866529097442
35,-0.0430739077876999
36,-0.21003571510889943
37,0.864329854054144
38,-0.45802931779411055
39,0.7065870281716875
40,-0.45408466195085834
41,-0.44132793109145385
42,-0.1992068833620722
43,-0.45805600267838215
44,-0.45412996571899455
45,-0.45137621416040896
46,-0.4527538689214655
47,-0.45412996571899455
48,-0.36814571910301264
49,-0.457029462260048
50,-0.21105853393174037
51,0.9865933417080075
52,-0.20968015211202412
53,-0.45698169717358145
54,-0.20795068790658783
55,-0.45412996571899455
56,-0.38058467528252854
57,0.2842317204084154
58,-0.21090564308826198
59,0.8493097348784321
60,0.8493097348784321
61,0.8493097348784321
62,-0.3749651271934807
63,-0.1065039609439448
64,-0.21113637840641353
65,-0.21090564308826198
66,-0.4526512034446452
67,-0.45644555675470655
68,-0.2117196655904989
69,0.8456078394388626
70,0.864329854054144
71,0.8480706532260819
72,-0.445898412486143
73,-0.45137621416040896
74,0.7671875948706018
75,-0.21186142108285858
76,-0.20984850556325407
77,0.7671875948706018
78,-0.2113052787423413
79,1.6956842081451347
80,0.1269700664314327
81,1.5014559555405542
82,0.6124180579665683
83,-0.20789138907135124
84,1.7123453410826166
85,-0.45559728876231886
86,-0.2104037434532829
87,0.864329854054144
88,-0.45559728876231886
89,0.8493097348784321
90,0.8493097348784321
91,0.864329854054144
92,0.022300830086785836
93,0.022300830086785836
94,-0.19007490189706464
95,-0.19007490189706464
96,-0.20835550666959335
97,-0.45137621416040896
98,0.864329854054144
99,-0.45137621416040896
100,-0.45574794563502835
101,0.033017361660776186
102,-0.20305543816888894
103,-0.2103256848548122
104,-0.01920464592803207
105,-0.01920464592803207
106,-0.4568429091785787
107,-0.45137621416040896
108,-0.2103071964418463
109,-0.43918164981249586
110,0.4910410658823207
111,-0.45644555675470655
112,0.6306658063105263
113,0.022300830086785836
114,0.022300830086785836
115,-0.4163840391194846
116,-0.45412996571899455
117,-0.45722496981992095
118,0.7671875948706018
119,-0.21144275465894818
120,-0.21144275465894818
121,-0.21144275465894818
122,5.167610776320264
123,-0.353542516474606
124,-0.21157762245746595
125,-0.21159004928972056
126,0.864329854054144
127,-0.45412996571899455
128,-0.45351418421274475
129,-0.20944159122581718
130,0.6126653551000362
131,-0.21144275465894818
132,-0.21144275465894818
133,-0.21144275465894818
134,-0.45137621416040896
135,0.025075621673756057
136,-0.20968015211202412
137,22.76222212992597
138,-0.06618087862188719
139,-0.19068434876582607
140,-0.19007490189706464
141,0.19615435457123861
142,0.5316268982291833
143,-0.2114890081737914
144,-0.45137621416040896
145,-0.45137621416040896
146,-0.45644555675470655
147,-0.2114966833857356
148,-0.2114966833857356
149,0.5394484333611047
150,0.7671875948706018
151,0.7790745256990687
152,-0.21057938309994653
153,-0.21056458926277166
154,-0.2114966833857356
155,2.8376082271450986
156,0.3560887446206908
157,0.7790745256990687
158,-0.20835550666959335
159,-0.45722496981992095
160,-0.2114966833857356
161,-0.45762546187291736
162,-0.2114966833857356
163,2.1061761789762805
164,2.0661685076298846
165,-0.45137621416040896
166,-0.21186142108285858
167,-0.45412996571899455
168,-0.4554250044292046
169,-0.4554250044292046
170,-0.45627940056181265
